label,i_max,t_max,threads,time_sec,normalized
results_test_dynamic1k,100000000,256,4,20.606400,8.049375000e-10
results_test_dynamic1k,100000000,256,6,18.281900,7.141367187e-10
results_test_dynamic1k,100000000,256,8,17.832200,6.965703125e-10
results_test_dynamic1k,100000000,256,12,18.188600,7.104921875e-10
results_test_dynamic1k,100000000,256,14,20.304300,7.931367188e-10
results_test_dynamic1k,100000000,256,16,19.711700,7.699882813e-10
results_test_dynamic1k,100000000,256,32,19.501800,7.617890625e-10
results_test_dynamic4k,1000,8388608,1,17.743400,2.115178108e-09
results_test_dynamic4k,1000,8388608,2,20.340200,2.424740791e-09
results_test_dynamic4k,1000,8388608,4,23.494700,2.800786495e-09
results_test_dynamic4k,1000,8388608,6,27.017500,3.220736980e-09
results_test_dynamic4k,1000,8388608,8,30.285000,3.610253334e-09
results_test_dynamic4k,1000,8388608,12,75.144600,8.957934380e-09
results_test_dynamic4k,1000,8388608,14,83.935500,1.000589132e-08
results_test_dynamic4k,1000,8388608,16,92.375300,1.101199389e-08
results_test_dynamic4k,1000,8388608,32,92.711500,1.105207205e-08
results_test_dynamic4k,10000,1048576,1,17.143300,1.634912491e-09
results_test_dynamic4k,10000,1048576,2,17.796500,1.697206497e-09
results_test_dynamic4k,10000,1048576,4,19.661100,1.875028610e-09
results_test_dynamic4k,10000,1048576,6,21.301000,2.031421661e-09
results_test_dynamic4k,10000,1048576,8,22.050600,2.102909088e-09
results_test_dynamic4k,10000,1048576,12,26.172400,2.495994568e-09
results_test_dynamic4k,10000,1048576,14,27.133500,2.587652206e-09
results_test_dynamic4k,10000,1048576,16,28.026400,2.672805786e-09
results_test_dynamic4k,10000,1048576,32,36.072700,3.440160751e-09
results_test_dynamic4k,50000,131072,1,10.438900,1.592849731e-09
results_test_dynamic4k,50000,131072,2,7.183410,1.096101379e-09
results_test_dynamic4k,50000,131072,4,3.926890,5.991958618e-10
results_test_dynamic4k,50000,131072,6,4.429400,6.758728027e-10
results_test_dynamic4k,50000,131072,8,4.418730,6.742446899e-10
results_test_dynamic4k,50000,131072,12,4.942250,7.541275024e-10
results_test_dynamic4k,50000,131072,14,5.276430,8.051193237e-10
results_test_dynamic4k,50000,131072,16,5.626900,8.585968018e-10
results_test_dynamic4k,50000,131072,32,9.396830,1.433842468e-09
results_test_dynamic4k,100000,65536,1,10.772600,1.643768311e-09
results_test_dynamic4k,100000,65536,2,5.638230,8.603256226e-10
results_test_dynamic4k,100000,65536,4,4.069900,6.210174561e-10
results_test_dynamic4k,100000,65536,6,2.413030,3.681991577e-10
results_test_dynamic4k,100000,65536,8,2.460720,3.754760742e-10
results_test_dynamic4k,100000,65536,12,2.584800,3.944091797e-10
results_test_dynamic4k,100000,65536,14,2.758920,4.209777832e-10
results_test_dynamic4k,100000,65536,16,2.650590,4.044479370e-10
results_test_dynamic4k,100000,65536,32,4.805780,7.333038330e-10
results_test_dynamic4k,1000000,8192,1,15.371200,1.876367187e-09
results_test_dynamic4k,1000000,8192,2,7.593730,9.269689941e-10
results_test_dynamic4k,1000000,8192,4,4.479470,5.468103027e-10
results_test_dynamic4k,1000000,8192,6,3.571800,4.360107422e-10
results_test_dynamic4k,1000000,8192,8,3.160150,3.857604980e-10
results_test_dynamic4k,1000000,8192,12,1.647920,2.011621094e-10
results_test_dynamic4k,1000000,8192,14,1.408980,1.719946289e-10
results_test_dynamic4k,1000000,8192,16,1.202840,1.468310547e-10
results_test_dynamic4k,1000000,8192,32,1.154770,1.409631348e-10
results_test_dynamic4k,5000000,1024,1,10.567000,2.063867187e-09
results_test_dynamic4k,5000000,1024,2,5.690750,1.111474609e-09
results_test_dynamic4k,5000000,1024,4,3.937610,7.690644531e-10
results_test_dynamic4k,5000000,1024,6,3.752930,7.329941406e-10
results_test_dynamic4k,5000000,1024,8,3.733080,7.291171875e-10
results_test_dynamic4k,5000000,1024,12,8.457590,1.651873047e-09
results_test_dynamic4k,5000000,1024,14,8.339240,1.628757812e-09
results_test_dynamic4k,5000000,1024,16,9.624030,1.879693359e-09
results_test_dynamic4k,5000000,1024,32,7.878430,1.538755859e-09
results_test_dynamic4k,10000000,512,1,10.600500,2.070410156e-09
results_test_dynamic4k,10000000,512,2,6.080420,1.187582031e-09
results_test_dynamic4k,10000000,512,4,3.916490,7.649394531e-10
results_test_dynamic4k,10000000,512,6,3.693900,7.214648438e-10
results_test_dynamic4k,10000000,512,8,3.675550,7.178808594e-10
results_test_dynamic4k,10000000,512,12,9.298970,1.816205078e-09
results_test_dynamic4k,10000000,512,14,8.122450,1.586416016e-09
results_test_dynamic4k,10000000,512,16,9.461800,1.848007813e-09
results_test_dynamic4k,10000000,512,32,7.879170,1.538900391e-09
results_test_dynamic4k,50000000,256,1,27.487200,2.147437500e-09
results_test_dynamic4k,50000000,256,2,15.443400,1.206515625e-09
results_test_dynamic4k,50000000,256,4,10.074800,7.870937500e-10
results_test_dynamic4k,50000000,256,6,9.143510,7.143367187e-10
results_test_dynamic4k,50000000,256,8,8.952200,6.993906250e-10
results_test_dynamic4k,50000000,256,12,10.726700,8.380234375e-10
results_test_dynamic4k,50000000,256,14,10.781900,8.423359375e-10
results_test_dynamic4k,50000000,256,16,11.347900,8.865546875e-10
results_test_dynamic4k,50000000,256,32,11.053800,8.635781250e-10
results_test_dynamic4k,100000000,256,1,54.832100,2.141878906e-09
results_test_dynamic4k,100000000,256,2,30.997600,1.210843750e-09
results_test_dynamic4k,100000000,256,4,20.392100,7.965664062e-10
results_test_dynamic4k,100000000,256,6,18.245200,7.127031250e-10
results_test_dynamic4k,100000000,256,8,17.837100,6.967617188e-10
results_test_dynamic4k,100000000,256,12,20.278900,7.921445313e-10
results_test_dynamic4k,100000000,256,14,20.337600,7.944375000e-10
results_test_dynamic4k,100000000,256,16,20.033600,7.825625000e-10
results_test_dynamic4k,100000000,256,32,20.554500,8.029101563e-10
results_test_guided16k,1000,8388608,1,17.781500,2.119719982e-09
results_test_guided16k,1000,8388608,2,20.740500,2.472460270e-09
results_test_guided16k,1000,8388608,4,23.372900,2.786266804e-09
results_test_guided16k,1000,8388608,6,27.451200,3.272438049e-09
results_test_guided16k,1000,8388608,8,30.210200,3.601336479e-09
results_test_guided16k,1000,8388608,12,74.375300,8.866226673e-09
results_test_guided16k,1000,8388608,14,83.730100,9.981405735e-09
results_test_guided16k,1000,8388608,16,92.162500,1.098662615e-08
results_test_guided16k,1000,8388608,32,94.768500,1.129728556e-08
results_test_guided16k,10000,1048576,1,17.168100,1.637277603e-09
results_test_guided16k,10000,1048576,2,18.057900,1.722135544e-09
results_test_guided16k,10000,1048576,4,19.594000,1.868629456e-09
results_test_guided16k,10000,1048576,6,21.299600,2.031288147e-09
results_test_guided16k,10000,1048576,8,22.033300,2.101259232e-09
results_test_guided16k,10000,1048576,12,26.123700,2.491350174e-09
results_test_guided16k,10000,1048576,14,27.161200,2.590293884e-09
results_test_guided16k,10000,1048576,16,28.118100,2.681550980e-09
results_test_guided16k,10000,1048576,32,31.848400,3.037300110e-09
results_test_guided16k,50000,131072,1,10.470100,1.597610474e-09
results_test_guided16k,50000,131072,2,7.244400,1.105407715e-09
results_test_guided16k,50000,131072,4,4.072160,6.213623047e-10
